Word,Reading,Meaning,JLPT,Word Type,Example Sentence JP,Example Sentence EN
宿題,しゅくだい,homework,N5,Noun,宿題嫌だ！,I don't like homework.
上手,じょうず,"be good at, skillful",N5,Na-adjective (keiyodoshi),上手に泳げるの？,Can you swim well?
丈夫,じょうぶ,"strong, solid, durable",N5,Na-adjective (keiyodoshi),大丈夫？,You all right?
醤油,しょうゆ,soy sauce,N5,Noun,トム、そこの醤油取って。,"Tom, please pass me that soy sauce."
食堂,しょくどう,"cafeteria, dining hall",N5,Noun,食堂はどこですか。,Where is the cafeteria?
知る,しる,"to know, to understand",N5,Godan verb with 'ru' ending,知るか！,I don't care!
白,しろ,white,N5,Noun,面白そう！,It seems interesting to me.
白い,しろい,white,N5,I-adjective (keiyoushi),面白い。,Interesting.
～人,～じん,counter for people,N5,Noun,あの人誰？,Who is that man?
新聞,しんぶん,newspaper,N5,Noun,新聞どこ？,Where's the newspaper?
水曜日,すいようび,Wednesday,N5,Noun,今日は水曜日です。,Today is Wednesday.
吸う,すう,"to breathe in, to suck",N5,Godan verb with 'u' ending,紙は油を吸うよ。,Paper absorbs oil.
スカート,スカート,skirt,N5,Noun,スカート短すぎよ。,Your skirt is too short.
好き,すき,"liking, fondness, love",N5,Na-adjective (keiyodoshi),雨は好き？,Do you like rain?
～すぎ,～すぎ,"past; to exceed, ~ too much",N5,Noun,暑すぎ。,It's too hot.
少ない,すくない,a little; a few,N5,I-adjective (keiyoushi),５は８より少ない。,5 is less than 8.
すぐに,すぐに,"immediately, soon",N5,Adverb (fukushi),すぐに戻るよ。,I will be back soon.
少し,すこし,"little, few",N5,Adverb (fukushi),少し疲れた。,I'm a little tired.
涼しい,すずしい,"cool, refreshing (in reference to weather)",N5,I-adjective (keiyoushi),秋は涼しいです。,Autumn is cool.
～ずつ,～ずつ,at a time,N5,Suffix,傷ついた。,I was hurt.
ストーブ,ストーブ,heater (lit: stove),N5,Noun,ストーブ切った？,Did you turn the stove off?
スプーン,スプーン,spoon,N5,Noun,スプーンがありません。,There is a spoon missing.
スポーツ,スポーツ,sport(s),N5,Noun,スポーツは好き？,Do you like sports?
ズボン,ズボン,trousers,N5,Noun,このズボンいくら？,How much are these pants?
住む,すむ,"to reside, to live in",N5,Godan verb with 'mu' ending,私には住む家がない。,I have no home to live in.
する,する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",N5,Suru verb - included,何するの？,What are you doing?
座る,すわる,to sit,N5,Godan verb with 'ru' ending,その上に座るな。,Don't sit on it.
背,せい,"(one's) height, stature",N5,Noun,かっこいいね。,He looks cool.
生徒,せいと,student; pupil,N5,Noun,トムは生徒です。,Tom is a student.
セーター,セーター,sweater,N5,Noun,このセーターどう思う？,What do you think of this sweater?
石鹸,せっけん,soap,N5,Noun,石鹸がないよ。,There's no soap.
背広,せびろ,men's suit,N5,Noun,私は新しい背広を買った。,I bought a new suit of clothes.
狭い,せまい,narrow; not spacious,N5,I-adjective (keiyoushi),狭い部屋だね。,It's a small room.
ゼロ,ゼロ,zero,N5,Noun,リズム感ゼロね。,You have no sense of rhythm.
千,せん,thousand,N5,Numeric,千円で足りる？,Is one thousand yen enough?
先月,せんげつ,last month,N5,Noun,母は先月から病気だ。,My mother has been sick since last month.
先週,せんしゅう,last week,N5,Noun,彼らは先週来た。,They came last week.
先生,せんせい,"teacher, professor; master; doctor",N5,Noun,先生なの？,Are you a teacher?
洗濯,せんたく,"washing, laundry",N5,Noun,家に洗濯機はある？,Is there a washing machine in the house?
全部,ぜんぶ,"all, entire, whole",N5,Noun,それで全部？,Is that all?
そう; そうです,そう; そうです,"yes; appears, to be the case",N5,Noun,なんか誰かに雰囲気似てるなあと思ってましたが、言われてみてああそうそうですね。確かにZZ TOPってこういう感じでしたよね。,"I had a nagging feeling that the atmosphere resembled somebody and, now that you mention it, yes, you're right. Certainly ZZ TOP had this kind of feel."
掃除,そうじ (する),"cleaning, sweeping",N5,Noun,大掃除の時間よ。,It's time for spring cleaning.
そうして; そして,そうして; そして,"and, like that",N5,Conjunction,そうして欲しいなんて、言ったおぼえはない。,I never said that I wanted that.
そこ,そこ,"that place, there; bottom, sole",N5,Pronoun,そこ暖かい？,Is it warm there?
そちら,そちら,over there,N5,Pronoun,そちらこそお疲れ。,Thank you for your work as well.
そっち,そっち,over there,N5,Pronoun,そっちの天気は？,How's the weather there?
外,そと,"outside, exterior",N5,Noun,外見て！,Look outside!
その,その,that,N5,Pre-noun adjectival (rentaishi),その通り！,That's right!
そば,そば,"near, close, beside; Japanese traditional buckwheat noodle",N5,Noun,一緒に遊ばない？,Would you play with me?
空,そら,sky,N5,Noun,空は青い。,The sky is blue.
それ,それ,that one,N5,Pronoun,それ何？,What is it?
それから,それから,"and then, after that",N5,"Expressions (phrases, clauses, etc.)",それから10年が経った。,10 years have passed since then.
それでは,それでは,"in that situation, well then...",N5,Conjunction,さあそれでは始めよう。,"Well, let's get the ball rolling."
～台,～だい,counter for vehicles; machines,N5,Noun,台所はどこ？,Where's the kitchen?
大学,だいがく,college; university,N5,Noun,大学生です。,I am a university student.
大使館,たいしかん,embassy,N5,Noun,オランダ大使館はどこですか？,Where is the Dutch embassy?
大丈夫,だいじょうぶ,It's ok (all right); No need to worry; Everything is under control,N5,Na-adjective (keiyodoshi),大丈夫？,You all right?
大好き,だいすき,"very like-able, like very much",N5,Na-adjective (keiyodoshi),大好き。,I love you.
大切,たいせつ,important,N5,Na-adjective (keiyodoshi),大切にします。,I'll treasure it.
台所,だいどころ,kitchen,N5,Noun,台所はどこ？,Where's the kitchen?
大変,たいへん,"very; difficult, hard",N5,Adverb (fukushi),わぁ！大変だ！,Ah! This is bad!
高い,たかい,"tall, high; expensive",N5,I-adjective (keiyoushi),波が高い。,The waves are high.
～だけ,～だけ,"only ~, just ~, as ~",N5,Particle,私だけ？,Is it just me?
沢山,たくさん,"many, much",N5,Noun which may take the genitive case particle 'no',子供がたくさんいるね。,They have a lot of kids.
タクシー,タクシー,taxi,N5,Noun,タクシー代あるの？,Do you have money for a taxi?
出す,だす,to take (something) out; to hand in (something),N5,Godan verb with 'su' ending,口を出さないで。,Don't butt in.
～たち,～たち,plural suffix,N5,Noun,立ってください。,Please stand up.
立つ,たつ,to stand up,N5,Godan verb with 'tsu' ending,林に竹がある。,There's bamboo in the woods.
たて,たて,"length, height",N5,Noun,立てますか？,Can you stand up?
建物,たてもの,building,N5,Noun,高い建物ですね。,"That is a high building, is it not?"
楽しい,たのしい,"enjoyable, fun",N5,I-adjective (keiyoushi),楽しい旅を。,Enjoy your trip.
頼む,たのむ,"to request, to ask (a favor)",N5,Godan verb with 'mu' ending,頼むよー。,I'm begging you.
たばこ,たばこ,"tobacco, cigarettes",N5,Noun,たばこ止めたら？,Why don't you give up smoking?
多分,たぶん,"perhaps, probably, maybe",N5,Adverb (fukushi),多分そうだよ。,Maybe that's right.
食べ物,たべもの,food,N5,Noun,食べ物！,Food!
食べる,たべる,to eat,N5,Ichidan verb,食べる？,Do you want to eat?
卵,たまご,egg,N5,Noun,卵はどこ。,Where are the eggs?
誰,だれ,who,N5,Pronoun,誰？,Who are you?
誰か,だれか,someone,N5,Pronoun,誰かいる？,Is anybody here?
誕生日,たんじょうび,birthday,N5,Noun,誕生日いつ？,When is your birthday?
段々,だんだん,"gradually, by degrees",N5,Adverb (fukushi),段々思い出し始めてきた。,I am beginning to remember it.
小さい,ちいさい,"small, little",N5,I-adjective (keiyoushi),小さい！,So small!
小さな,ちいさな,"small, little",N5,Pre-noun adjectival (rentaishi),小さな部屋ね。,It's a small room.
近い,ちかい,"near, close by, short",N5,I-adjective (keiyoushi),もう１０時近い。,It is almost ten o'clock.
違う,ちがう,to be different; to differ; wrong,N5,Godan verb with 'u' ending,違う！,No!
近く,ちかく,nearby; in the neighborhood,N5,Noun,近くにいる？,Are you nearby?
地下鉄,ちかてつ,"underground train, subway",N5,Noun,地下鉄に乗ろう。,Let's take the subway.
地図,ちず,a map,N5,Noun,地図が要ります。,I need a map.
父,ちち,(my) father,N5,Noun,父が来ます。,My father is coming.
茶色,ちゃいろ,brown,N5,Noun,茶色の動物は？,What animal is brown?
茶碗,ちゃわん,rice bowl,N5,Noun,彼は茶碗のふちを欠いた。,He chipped the edge of the tea cup.
～中,～ちゅう,"during, while ~ing",N5,Noun,これは古いものだよ。,It's used.
丁度,ちょうど,"just, right, exactly",N5,Adverb (fukushi),丁度いい大きさよ。,It's just the right size.
ちょっと,ちょっと,"a little, somewhat; just a little, somewhat",N5,Adverb (fukushi),ちょっと？,Do you have a minute?
一日,ついたち,one day; first day of the month,N5,Noun,良い一日を。,Have a nice day.
使う,つかう,to use,N5,Godan verb with 'u' ending,これ使う？,Are you going to use this?
疲れる,つかれる,to get (become) tired; to become fatigued,N5,Ichidan verb,彼はすぐに疲れる。,He gets tired easily.
次,つぎ,next,N5,Noun,次は誰？,Who's next?
着く,つく,"to arrive at, to reach",N5,Godan verb with 'ku' ending,いつ着くの？,When do we arrive?
机,つくえ,desk,N5,Noun,私の机は古い。,My desk is old.
作る,つくる,"to make, to create",N5,Godan verb with 'ru' ending,夕飯、作るね。,I'll make dinner.
つける,つける,"to turn on (e.g., a light); to take",N5,Ichidan verb,格好つけないで。,Don't show off.
勤める,つとめる,to work (for),N5,Ichidan verb,彼は会社に勤めている。,He works at a company.
つまらない,つまらない,"boring, dull; insignificant",N5,I-adjective (keiyoushi),つまらないの？,Are you bored?
冷たい,つめたい,"cold (things, people)",N5,I-adjective (keiyoushi),水は冷たい？,Is the water cold?
強い,つよい,"strong, powerful",N5,I-adjective (keiyoushi),風は強い？,Is it windy?
手,て,hand,N5,Noun,やった！,I did it!
テープ,テープ,tape,N5,Noun,セロハンテープ持ってきて。,Bring sellotape.
テープレコーダー,テープレコーダー,tape recorder,N5,Noun,このテープレコーダーは４万円しました。,"I paid 40,000 yen for this tape recorder."
テーブル,テーブル,table,N5,Noun,テーブルの下よ。,It's under the table.
出かける,でかける,to go out; to depart,N5,Ichidan verb,出かけるの？,Are you going out?
手紙,てがみ,letter,N5,Noun,はい、手紙。,Here's a letter for you.
できる,できる,to be able to (to accomplish),N5,Ichidan verb,できるよ！,You can do it.
出口,でぐち,an exit,N5,Noun,出口を探そう。,Let's find the exit.
テスト,テスト,test,N5,Noun,テスト文です。,This is a test sentence.
では,では,"then, well, so",N5,Conjunction,ではまた明日。,See you again tomorrow.
デパート,デパート,(abbr.) department store,N5,Noun,デパートで買った。,I bought it at a department store.
でも,でも,"but, however",N5,Conjunction,でもなんで？,But why?
出る,でる,"to appear, to leave",N5,Ichidan verb,いつ出る？,When are we leaving?
テレビ,テレビ,"television, TV",N5,Noun,テレビ見てるの？,Are you watching TV?
天気,てんき,weather,N5,Noun,変な天気！,How strange the weather is!
電気,でんき,"electricity, (electric) light",N5,Noun,電気消して。,Put out the light.
電車,でんしゃ,electric train,N5,Noun,電車が来るよ！,The train is coming!
電話,でんわ,a telephone,N5,Noun,電話です。,You are wanted on the phone.
戸,と,door (Japanese style),N5,Noun,戸を閉めろ。,Shut the door.
～度,～ど,counter for occurrences; ~ degree; ~ point,N5,Noun,もう一度？,Again?
ドア,ドア,door (Western style),N5,Noun,ドアを閉めて！,Shut the door.
トイレ,トイレ,bathroom; toilet,N5,Noun,そこはトイレだよ。,That's the bathroom.
どう,どう,"how, in what way",N5,Noun,どう？,How do you like it?
どうして,どうして,"why, for what reason",N5,Adverb (fukushi),どうして？,Why?
どうぞ,どうぞ,"please, kindly, by all means",N5,Adverb (fukushi),どうぞ。,Please.
動物,どうぶつ,animal,N5,Noun,茶色の動物は？,What animal is brown?
どうも,どうも,Thank you; somehow,N5,Adverb / Interjection,どうもありがとうございました！,Thank you very much!
十,(〜を) とお,ten (~),N5,Numeric,人それぞれだね。,Everyone’s different.
遠い,とおい,"far (away), distant",N5,I-adjective (keiyoushi),ここから遠いの？,Is it far from here?
十日,とおか,ten days; tenth day of the month,N5,Noun,明日は十月十日火曜日です。,"Tomorrow is Tuesday, the tenth of October."
～時,～とき,at the time of ~,N5,Noun,何時ごろ？,About what time?
時々,ときどき,sometimes,N5,Adverb (fukushi),時々ＴＶを見る。,I watch TV now and then.
時計,とけい,a watch; a clock,N5,Noun,時計してる？,Are you wearing a watch?
どこ,どこ,"where, what place",N5,Pronoun,どこ？,Where?
所,ところ,place,N5,Noun,台所はどこ？,Where's the kitchen?
年,とし,"year, age",N5,Noun,年末です。,It's the end of the year.
図書館,としょかん,library,N5,Noun,図書館にいるの？,Are you in the library?
どちら,どちら,which (one) (way); where (polite),N5,Pronoun,どちらさまですか？,May I ask who you are?
どっち,どっち,"which one, which way",N5,Pronoun,どっち取る？,Which one do you take?
とても,とても,"very (much), greatly, exceedingly",N5,Adverb (fukushi),とても高い。,It's very high.
どなた,どなた,who,N5,Pronoun,どなた？,Who is it?
隣,となり,"next to, next door to",N5,Noun which may take the genitive case particle 'no',隣どうぞ。,Come sit by my side.
どの,どの,which,N5,Pre-noun adjectival (rentaishi),どの犬が黒い？,Which dog is black?
飛ぶ,とぶ,"to fly, to hop",N5,Godan verb with 'bu' ending,鳥は飛ぶ。,Birds fly.
止まる,とまる,to come to a halt,N5,Godan verb with 'ru' ending,立ち止まらないで。,Don't stop moving.
友達,ともだち,friend,N5,Noun,友達でしょ？,Are you friends?
土曜日,どようび,Saturday,N5,Noun,土曜日だよ。,It is Saturday.
鳥,とり,"chicken (lit., bird)",N5,Noun,一回で二つできる。,Two things done at once.
鶏肉,とりにく,chicken meat,N5,Noun,鶏肉で、何が作れる？,What can you make with chicken?
取る,とる,to take (a class); to get (a grade),N5,Godan verb with 'ru' ending,どっち取る？,Which one do you take?
撮る,とる,"to take (a photo), to make (a film)",N5,Godan verb with 'ru' ending,写真撮るの、好き好き。,I love to take pictures.
どれ,どれ,which one,N5,Pronoun,どれどれ。,Let me see.
どんな,どんな,"what, what kind of",N5,Pre-noun adjectival (rentaishi),どんな方なの？,What is he like?
ない,ない,"there isn't, doesn't have",N5,I-adjective (keiyoushi),危ない！,Look out!
ナイフ,ナイフ,knife,N5,Noun,ナイフがない。,There is a knife missing.
中,なか,"inside, middle, among",N5,Noun,これは古いものだよ。,It's used.
長い,ながい,"long, lengthy",N5,I-adjective (keiyoushi),人生は長い。,Life is good.
鳴く,なく,to make sound (animal),N5,Godan verb with 'ku' ending,鳥は鳴く。,Birds sing.
無くす,なくす,to lose something,N5,Godan verb with 'su' ending,ガソリンがなくなりそう。,We're running out of gas.
なぜ,なぜ,why (same as どうして),N5,Adverb (fukushi),なぜ？,Why?
夏,なつ,summer,N5,Noun,夏だね。,It's summer.
夏休み,なつやすみ,summer vacation,N5,Noun,夏休みはいつから？,When does your summer vacation begin?
～など,～など,et cetera,N5,Particle,魚どう？美味しい？,How's the fish? Is it good?
七つ,ななつ,seven things,N5,Numeric,一つ、二つ、三つ、四つ、五つ、六つ、七つ、八つ、九つ、十。,"One, two, three, four, five, six, seven, eight, nine, ten."
何,なん; なに,what,N5,Pronoun,何？,What?
七日,なのか,seven days; seventh day (of the month),N5,Noun,一週間は七日です。,There are seven days in a week.
名前,なまえ,name,N5,Noun,お名前は？,May I have your name?
習う,ならう,to learn,N5,Godan verb with 'u' ending,習うより慣れろ。,Practice makes perfect.
並ぶ,ならぶ,"to line up, to stand in a line (v.i.)",N5,Godan verb with 'bu' ending,秋の味覚が店頭に並ぶ季節となりました。,It was the time of year when the tastes of autumn were lined up in the storefront.
並べる,ならべる,to put (things) side by side; to line up,N5,Ichidan verb,あれ？並べる順番があべこべだけど、いいの？,"Huh? The order is reversed, is that alright?"
なる,なる,to become,N5,Godan verb with 'ru' ending,なるほど。,I understand.
何～,なん～,what sort of ~,N5,Pronoun,何？,What?
二,に,two,N5,Numeric,一回で二つできる。,Two things done at once.
にぎやか,にぎやか,"bustling, busy",N5,Na-adjective (keiyodoshi),にぎやかなところが好きだ。,I like busy places.
肉,にく,meat,N5,Noun,強い者が勝つ。,The strong win.
西,にし,west,N5,Noun,日は西に沈む。,The sun sets in the west.
～日,～にち,"~ day of the month, for ~ days",N5,Noun,明日暇？,Are you free tomorrow?
日曜日,にちようび,Sunday,N5,Noun,日曜日、暇？,Are you free on Sunday?
荷物,にもつ,luggage; baggage,N5,Noun,荷物見ててね。,Keep an eye on the bags.
ニュース,ニュース,news,N5,Noun,ニュース見ないの？,Haven't you been watching the news?
庭,にわ,garden,N5,Noun,庭いじりは好き？,Do you like gardening?
～人,～にん,counter for people,N5,Noun,あの人誰？,Who is that man?
脱ぐ,ぬぐ,to take off (clothes),N5,Godan verb with 'gu' ending,家に入る時は、靴を脱ぐよ。,I take off my shoes when I go in my house.
温い,ぬるい,lukewarm,N5,I-adjective (keiyoushi),ここはちょっと温いですね？,"It's a bit warm in here, isn't it?"
ネクタイ,ネクタイ,"tie, necktie",N5,Noun,ネクタイは？,Where is your tie?
猫,ねこ,cat,N5,Noun,猫だ！,Cat!
寝る,ねる,to sleep; to go to sleep; to go to bed,N5,Ichidan verb,寝るぞ！,I'm going to bed.
～年,～ねん,~ years,N5,Noun,年末です。,It's the end of the year.
ノート,ノート,notebook,N5,Noun,ノートは収めて。,Put your notebook away.
登る,のぼる,to climb,N5,Godan verb with 'ru' ending,塀に登るな。,Don't climb up the wall.
飲み物,のみもの,"drink, beverage",N5,Noun,飲み物いる？,Want something to drink?
飲む,のむ,to drink,N5,Godan verb with 'mu' ending,何か飲む？,Want a drink?
乗る,のる,"to get on, to ride in, to board",N5,Godan verb with 'ru' ending,調子に乗らないで。,Don't push your luck.
歯,は,tooth,N5,Noun,歯が痛い。,I've got a toothache.
パーティー,パーティー,a party,N5,Noun,パーティー楽しめた？,How did you enjoy the party?
はい,はい,yes,N5,Noun,入れ！,Come in.
～杯,～はい,counter for cupfuls,N5,Counter,ビールを一杯ください。,"One glass of beer, please."
灰皿,はいざら,ashtray,N5,Noun,灰皿を下さい。,I need an ashtray.
入る,はいる,"to enter, to contain, to hold",N5,Godan verb with 'ru' ending,入るな。,Stay outside.
葉書,はがき,postcard,N5,Noun,トムが葉書を送ったよ。,Tom sent me a postcard.
はく,はく,to put on (items below your waist),N5,Godan verb with 'ku' ending,綺麗な人は大変だね。,Beautiful people have it tough.
箱,はこ,box,N5,Noun,箱がある。,There is a box.
橋,はし,bridge,N5,Noun,橋は石造りだ。,The bridge is made of stone.
箸,はし,chopsticks,N5,Noun,お箸が苦手なの。,I'm not very good with chopsticks.
始まる,はじまる,(something) begins,N5,Godan verb with 'ru' ending,始まる！,It begins!
初め; 始め,はじめ,"beginning, start",N5,Noun,社会人になって、初めて人生が始まる。,Life begins when you enter society.
初めて,はじめて,for the first time,N5,Adverb (fukushi),初めて来たの？,Is this the first time you've been here?
走る,はしる,to run,N5,Godan verb with 'ru' ending,彼は走る。,He runs.
バス,バス,bus; bath; bass,N5,Noun,バスケ上手？,Are you good at basketball?
バター,バター,butter,N5,Noun,バターはどこ？,Where's the butter?
二十歳,はたち,20 years old,N5,Noun,ローリーは二十歳だ。,Laurie is twenty years old.
働く,はたらく,to work,N5,Godan verb with 'ku' ending,働かないとだめだ。,We have to work.
八,はち,eight,N5,Numeric,夜の八時です。,It's eight o'clock at night.
二十日,はつか,"twenty days, twentieth (day of the month)",N5,Noun,今日は金曜日、十月二十日だ。,"Today is Friday, the twentieth of October."
花,はな,flower,N5,Noun,これは花？,This is a flower?
鼻,はな,nose,N5,Noun,鼻声だね。,You are talking through the nose.
話,はなし,"talk (chat), story",N5,Noun,話せよ！,Talk to me!
話す,はなす,to speak,N5,Godan verb with 'su' ending,話す。,To talk.
母,はは,(my) mother,N5,Noun,母に似ているよ。,I look like my mother.
早い,はやい,early,N5,I-adjective (keiyoushi),彼は動きが速いね。,He moves quickly.
速い,はやい,"fast, quick",N5,I-adjective (keiyoushi),車は速いな。,The car is fast.
春,はる,spring,N5,Noun,春はいいね。,Spring is nice.
貼る,はる,to post; to paste; to attach,N5,Godan verb with 'ru' ending,手紙に切手を貼るのを忘れないでね。,Don't forget to put stamps on the letters.
晴れ,はれ,clear (sunny) weather,N5,Noun,晴れそうだ。,The sky is likely to clear up.
晴れる,はれる,to be sunny,N5,Ichidan verb,晴れるのかなあ？,I wonder if it will be nice.
半,はん,"half (e.g., にじはん | half-past two)",N5,"Noun, used as a prefix",半分よこせ。,Give me half of it.
晩,ばん,evening,N5,Noun,今晩暇かな？,Are you free tonight?
～番,～ばん,~st; ~th best,N5,Noun,私の番？,Is it my turn?
パン,パン,bread,N5,Noun,きみはパンダ。,You are a panda.
ハンカチ,ハンカチ,handkerchief,N5,Noun,彼はハンカチを取り出した。,He took out his handkerchief.
番号,ばんごう,"number, series of digits",N5,Noun,電話番号、何番？,What's the number?
晩御飯,ばんごはん,"dinner, evening meal",N5,Noun,僕らは晩御飯の後散歩に出た。,We went out for a walk after dinner.
半分,はんぶん,half,N5,Adverb (fukushi),半分よこせ。,Give me half of it.
東,ひがし,east,N5,Noun,東京駅にいるよ。,I'm at Tokyo Station now.
～匹,～ひき,counter for small animals,N5,Counter,犬が一匹欲しい。,I want a puppy.
引く,ひく,"to pull, to draw; subtract",N5,Godan verb with 'ku' ending,風邪引くよ。,You'll catch a cold.
弾く,ひく,to play (a string instrument or piano),N5,Godan verb with 'ku' ending,どんな曲を弾くの？,What kind of music do you play?
低い,ひくい,"short, low",N5,I-adjective (keiyoushi),トムは声が低い。,Tom has a low-pitched voice.
飛行機,ひこうき,airplane,N5,Noun,紙飛行機だよ。,I made a paper plane.
左,ひだり,left hand side,N5,Noun,左折して。,Turn to the left.
人,ひと,"man, person",N5,Noun,あの人誰？,Who is that man?
一つ,ひとつ,one thing,N5,Numeric,一つは青。,One is blue.
一月,ひとつき,one month,N5,Noun,一月に彼に会いました。,I met him in January.
一人,ひとり,one person,N5,Noun,一人だ。,I'm alone.
暇,ひま,"free time, leisure",N5,Noun,いま暇？,Are you free now?
百,ひゃく,hundred,N5,Numeric,大差ないね。,There’s not much difference.
病院,びょういん,hospital,N5,Noun,病院に行けよ。,Go to the hospital.
病気,びょうき,illness; sickness,N5,Noun,病気です。,I'm sick.
平仮名,ひらがな,hiragana,N5,Noun,平仮名は書けるんだけど、片仮名はまだ書けないんだ。,"I can write hiragana, but I can't yet write katakana."
昼,ひる,"noon, daytime",N5,Noun,お昼にね。,See you at lunch.
昼御飯,ひるごはん,"lunch, midday meal",N5,Noun,昼御飯にカレーを食べました。,I ate curry for lunch.
広い,ひろい,spacious; wide; broad,N5,I-adjective (keiyoushi),広いな！,"God, this place is huge!"
フィルム,フィルム,film (roll of),N5,Noun,フィルムが切れた。,My film has run out.
封筒,ふうとう,envelope,N5,Noun,封筒がいる。,I need an envelope.
プール,プール,swimming pool,N5,Noun,プールがあるの？,Do you have a pool?
フォーク,フォーク,fork,N5,Noun,フォークを下さい。,I'd like a fork.
吹く,ふく,"to blow (wind, etc.)",N5,Godan verb with 'ku' ending,風が吹く。,The wind blows.
服,ふく,clothes,N5,Noun,制服はあるの？,Do you have a school uniform?
二つ,ふたつ,two things,N5,Numeric,二つに折らないで。,Don't fold it in half.
豚肉,ぶたにく,pork,N5,Noun,豚肉は私には合わない。,Pork doesn't agree with me.
二人,ふたり,two people,N5,Noun,お二人の間柄は？,How are you related?
二日,ふつか,two days; second day of the month,N5,Noun,お酒を飲みすぎた。,I drank too much.
太い,ふとい,"fat, thick",N5,I-adjective (keiyoushi),トムは首が太いんだ。,Tom has a thick neck.
冬,ふゆ,winter,N5,Noun,冬は去った。,Winter has gone.
降る,ふる,"to precipitate, to fall (e.g., rain, snow, etc.)",N5,Godan verb with 'ru' ending,雪が降る。,It's snowing.
古い,ふるい,"old (in reference to objects, not people), aged, ancient",N5,I-adjective (keiyoushi),母は考え方が古いね。,My mom's way of thinking is old-fashioned.
～分,～ふん,~ minutes,N5,Noun,分かった？,Is that clear?
文章,ぶんしょう,"sentence, text",N5,Noun,彼は文章がうまい。,He is a good writer.
ページ,ページ,a page,N5,Noun,何ページ？,What page?
下手,へた,"unskillful, poor",N5,Na-adjective (keiyodoshi),彼は字が下手だ。,His handwriting is poor.
ベッド,ベッド,bed,N5,Noun,ベッドへいけ。,Get to bed.
ペット,ペット,pet,N5,Noun,何かペットは飼ってる？,Do you have a pet?
部屋,へや,a room,N5,Noun,部屋が暑い。,The room is hot.
辺,へん,"area, vicinity",N5,Noun,ここら辺の人？,Does she live round here?
ペン,ペン,pen,N5,Noun,ペンはある？,Do you have a pen?
勉強,べんきょう (する),study,N5,Noun,勉強する。,I will study.
便利,べんり,"convenient, handy",N5,Na-adjective (keiyodoshi),そりゃ便利だね。,That comes in handy.
帽子,ぼうし,hat; cap,N5,Noun,君の帽子はどれ？,Which hat is yours?
ボールペン,ボールペン,ball-point pen,N5,Noun,これはボールペン。,This is a pen.
外,ほか,"other, the rest",N5,Noun,外見て！,Look outside!
ポケット,ポケット,pocket,N5,Noun,ポケットを見せろ。,Show me your pockets.
欲しい,ほしい,"to want, in need of",N5,I-adjective (keiyoushi),これ欲しい？,Do you want this?
ポスト,ポスト,"mailbox; post, position",N5,Noun,ポスト争いは厳しい。,Competition for the position is very intense.
細い,ほそい,"thin, slender, fine",N5,I-adjective (keiyoushi),心細いの。,I'm lonely.
ボタン,ボタン,button,N5,Noun,ボタンを押す。,Press the button.
ホテル,ホテル,hotel,N5,Noun,今、ホテル。,I'm at the hotel.
本,ほん,book,N5,Noun,本当？,Are you sure?
～本,～ほん,counter for long cylindrical things,N5,Noun,本当？,Are you sure?
本棚,ほんだな,bookshelf,N5,Noun,ジョンは本棚を作った。,John built a bookcase.
本当,ほんとう,"real, true",N5,Noun,本当？,Are you sure?
～枚,～まい,counter for flat things,N5,Counter,彼はかっこいい。,He is handsome.
毎朝,まいあさ,every morning,N5,Noun,父は毎朝散歩する。,My father takes a walk every morning.
毎月,まいげつ; まいつき,"every month, monthly",N5,Adverb (fukushi),毎月給料をもらいます。,I get paid every month.
毎週,まいしゅう,every week,N5,Noun,彼は毎週車を洗います。,He washes the car every week.
毎日,まいにち,every day,N5,Noun,平凡な毎日さ。,I live an ordinary life.
毎年,まいねん; まいとし,"every year, yearly, annually",N5,Adverb (fukushi),毎年行きます。,I go every year.
毎晩,まいばん,every night,N5,Noun,毎晩電話するよ。,I'll give you a ring every night.
前,まえ,"before, in front",N5,"Noun, used as a prefix",お名前は？,May I have your name?
～前,～まえ,in front of ~,N5,"Noun, used as a prefix",お名前は？,May I have your name?
曲る,まがる,"to turn, to bend",N5,Godan verb with 'ru' ending,この曲知ってる？,Do you know this tune?
まずい,まずい,"terrible (in reference to food), unappetizing, unpleasant (taste)",N5,I-adjective (keiyoushi),魚は不味い。,The fish doesn't taste good.
また,また,and; furthermore,N5,Adverb (fukushi),また！,Again!
まだ,まだ,"yet, still, besides",N5,Adverb (fukushi),まだ寒い？,Are you still cold?
町,まち,town; city,N5,Noun,広い町ね！,What a large town!
待つ,まつ,to wait,N5,Godan verb with 'tsu' ending,待つな。,Don't wait.
まっすぐ,まっすぐ,"straight (ahead), direct",N5,Na-adjective (keiyodoshi),まっすぐ行って。,Go straight ahead.
マッチ,マッチ,match,N5,Noun,マッチありますか。,Have you got a match?
窓,まど,window,N5,Noun,窓を閉めて。,Close the window.
丸い; 円い,まるい,"round, circular",N5,I-adjective (keiyoushi),お月さまが丸く見えるね。,The moon looks round.
万,まん,ten thousand,N5,Numeric,万歳！,Hooray!
万年筆,まんねんひつ,fountain pen,N5,Noun,万年筆って持ってる？,Do you have a fountain pen?
磨く,みがく,to brush (teeth); to polish,N5,Godan verb with 'ku' ending,男の人は歯を磨く。,The man brushes his teeth.
右,みぎ,right hand side,N5,Noun,回れ右！,About face!
短い,みじかい,short (length),N5,I-adjective (keiyoushi),人生は短い。,Life is short.
